post_napoleonic_thought;Post-Napoleonic Thought;Pensée post-napoléonienne;Postnapoleonischer Gedanke;;Pensamiento post-napoleónico;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
interwar_infantry_desc;From the end of the Great War to the end of the Depression, many nations' armies kept evolving in nature and focus. Starting with new divisional structures, many armies began to develop specialized units, ranging from Marines to Mountaineers. A greater degree of motorisation, with mass availability of cars and trucks, added to the ever-changing nature of land units across the globe.;De la fin de la Grande Guerre ?la fin de la Dépression, les armées des pays ont continu?d'évoluer en nature et en concentration. ?partir de nouvelles structures divisionnaires, de nombreuses armées ont commenc??développer des unités spécialisées, allant des marines aux alpinistes. A un plus grand degr?de motorisation, avec une disponibilit?en masse de voitures et de camions, s'ajoutait la nature sans cesse changeante des unités terrestres ?travers le monde. ;Zwischen dem Ende des ersten Weltkriegs und dem Ende der Großen Depression entwickelten sich die Armeen vieler Länder inpunkto Eigenschaften und Fokussierung weiter. Viele Armeen führten neue Divisionsstrukturen ein und begannen mit der Ausbildung verschiedenster Spezialtruppen wie Marineinfanterie und Gebirgsjägern. Die mit der massenhaften Verfügbarkeit von Autos und Lkw einhergehende Mobilitätssteigerung trug weltweit zur ständigen Veränderung von Bodentruppen bei.;;Entre el final de la Primera Guerra Mundial y el final de la Gran Depresión, los ejércitos de muchos países siguieron evolucionando, tanto en su naturaleza como en su enfoque. Empezando por nuevas estructuras divisionales, muchos ejércitos comenzaron a desarrollar unidades especializadas, de marines a fuerzas de montaña. La creciente importancia de la motorización, gracias a la disponibilidad masiva de coches y camiones, contribuy?a la modificación de las fuerzas terrestres por todo el mundo.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
interwar_cavalry;Interwar Cavalry;Cavalerie de l'entre-deux-guerres;Zwischenkriegskavallerie;;Caballería de entreguerras;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
interwar_cavalry_desc;With the mass casulaties suffered in the Great War, and the dawning of the motorised age, traditional horse cavalry was on its way out. The new focus on motorisation changed the way cavalry was to be used, and its role on the battlefield. No longer horse-mounted, soldiers would be mounted instead on motorised vehicles. Motorisation would also allow for more fire power from heavier guns, and speed up deployment times.;Avec les pertes massives subies pendant la Grande Guerre, et l'aube de l'âge motoris? la cavalerie ?cheval traditionnelle était en voie de disparition. Le nouvel accent mis sur la motorisation a chang?la façon dont elle devait être utilisée, et son rôle sur le champ de bataille. Plus de chevaux montés, les soldats étaient 'montés', ?la place, sur des véhicules motorisés. La motorisation permettait également une meilleure puissance de feu avec des canons lourds, et permettait d'accélérer la vitesse de déploiement. ;Angesichts der massenhaften Verluste des ersten Weltkriegs und des Anbruchs des motorisierten Zeitalters stand die traditionelle Pferdekavallerie vor dem endgültigen Aus. Die neue Fokussierung auf Motorisierung veränderte die Einsatzart von Kavallerie und ihre Rolle auf dem Schlachtfeld. Anstatt eines Pferds bestiegen die Soldaten nun motorisierte Fahrzeuge. Die Motorisierung ermöglichte außerdem die Steigerung der Feuerkraft mittels schwererer Geschütze und die Verkürzung der Aufmarschzeit.;;Con las bajas masivas sufridas en la Gran Guerra y el comienzo de la era motorizada, lleg?el final de la caballería tradicional. La importancia de la motorización cambi?el modo en que se utilizaba la caballería y su papel en el campo de batalla. A partir de entonces, en lugar de usar caballos, los soldados irían montados en vehículos motorizados. Además, la motorización permitiría utilizar cañones más pesados y potentes y aumentaría la velocidad de despliegue.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rear_area_dumps;Rear Area Dumps;Dépôts en zone arrière;Frontnahe Depots;;Depósitos de retaguardia;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rear_area_dumps_desc;As technology advanced, particularly in terms of motorisation, new concepts needed to be applied to more traditional doctrines. Supply, always an issue to an army, was greatly enhanced by these changes. It was now possible, as well as necessary, to establish major supply depots, from which entire sectors could be supplied. It was no longer necessary for long supply trains to feed frontline units, as centralised depots could rapidly dispense needed material to units.;Comme la technologie de pointe, notamment en termes de motorisation, de nouveaux concepts doivent être appliqués ?plus de doctrines traditionnelles. L'approvisionnement, toujours un problème pour une armée, a ét?grandement améliorée par ces changements. Il est désormais possible, autant que nécessaire, d'établir des dépôts majeures d'approvisionnement, ?partir desquels des secteurs entiers peuvent être déservis. Il n'était ainsi plus nécessaire d'avoir accès ?des trains d'approvisionnement pour alimenter les unités du front, car les dépôts centralisés pouvaient rapidement passer aux unités le matériel nécessaire.;Im Zuge des technologischen Fortschritts, besonders inpunkto Motorisierung, wurden für die traditionelleren Doktrinen neue Konzepte benötigt. Die Nachschubversorgung, für jede Armee stets ein wichtiger Punkt, wurde von diesen Änderungen stark verbessert. Nun war es möglich, wie auch notwendig, große Nachschubdepots zur Versorgung ganzer Sektoren zu errichten. Die Notwendigkeit langer Nachschubzüge zur Versorgung der Fronteinheiten fiel damit weg, da zentralisierte Depots benötigtes Material schnell an die Einheiten ausgeben konnten.;;A medida que avanzaba la tecnología, especialmente en términos de motorización, se hacía necesario aplicar nuevos conceptos a doctrinas más tradicionales. El avituallamiento, que siempre había sido un problema para los ejércitos, mejor?mucho gracias a estas transformaciones. Ahora era posible, además de necesario, establecer depósitos de retaguardia desde los que se podía suministrar a sectores enteros del frente. Ya no era necesario que largos trenes de avituallamiento abastecieran a las unidades del frente, puesto que estos depósitos podían enviar rápidamente el material que necesitaran las unidades.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bronze_muzzle_loaded_artillery;Bronze Muzzle-loaded Artillery;Artill. bronze chargée par bouche;Vorderladergeschütz, Bronze;;Artillería avancarga (bronce);x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bronze_muzzle_loaded_artillery_desc;Bronze Muzzle-loaded Artillery;Artillerie en bronze chargée par la bouche;Vorderladergeschütz, Bronze;;Artillería avancarga (bronce);x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
iron_muzzle_loaded_artillery;Iron Muzzle-loaded Artillery;Artill. fer chargée par bouche;Vorderladergeschütz, Eisen;;Artillería avancarga (hierro);x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
iron_muzzle_loaded_artillery_desc;Iron Muzzle-loaded Artillery;Artillerie en fer chargée par la bouche;Vorderladergeschütz, Eisen;;Artillería avancarga (hierro);x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
iron_breech_loaded_artillery;Iron Breech-loaded Artillery;Artillerie en fer ?culasse;Hinterladergeschütz, Eisen;;Artillería postcarga (hierro);x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
iron_breech_loaded_artillery_desc;Iron Breech-loaded Artillery;Artillerie en fer ?culasse;Hinterladergeschütz, Eisen;;Artillería postcarga (hierro);x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
steel_breech_loaded_artillery;Steel Breech-loaded Artillery;Artillerie en acier ?culasse;Hinterladergeschütz, Eisen;;Artillería postcarga (acero);x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
steel_breech_loaded_artillery_desc;Steel Breech-loaded Artillery;Artillerie en acier ?culasse;Hinterladergeschütz, Eisen;;Artillería postcarga (acero);x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
indirect_artillery_fire;Indirect Artillery Fire;Tir indirect d'artillerie;Indirekter Artilleriebeschuss;;Fuego indir. artillería;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
indirect_artillery_fire_desc;Indirect Artillery Fire;Tir indirect d'artillerie;Indirekter Artilleriebeschuss;;Fuego indir. artillería;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
heavy_armament_dunno;Heavy Armament;Armement lourd ;Schwere Bewaffnung;;Armamento pesado;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
heavy_armament_dunno_desc;Heavy Armament;Armement lourd ;Schwere Bewaffnung;;Armamento pesado;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tankette;Tankette;Chenillette;Tankette;;Tanqueta;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tankette_desc;Experience in the Great War showed the value and usefulness of tanks. However, those that saw action tended to be a bit unwieldy in rough terrain, and not very mobile. Tankettes were the first in a long line of developments in tank technology, that allowed for greater speeds and better maneuverability.;L'expérience de la Grande Guerre a montr?la valeur et l'utilit?des tanks. Toutefois, ceux qui ont ét?vus en action tendent ?être un peu lourds en terrain accident? et pas très mobiles. Les chenillettes ont ét?les premières d'une longue lignée d'évolution de la technologie des blindés, qui ont permis une plus grande vitesse et une meilleure maniabilit? ;Die ersten Panzereinsätze im ersten Weltkrieg hatten die Nützlichkeit von Panzern gezeigt. Die Panzer des ersten Weltkriegs waren in grobem Gelände aber noch recht schwerfällig und nicht besonders mobil. Tanketten waren der Beginn einer langen Entwicklungsreihe der Panzertechnologie, die höhere Geschwindigkeiten und bessere Manövrierbarkeit ermöglichte.;;Las experiencias de la Gran Guerra demostraron el valor y la utilidad de los tanques. Sin embargo, los que entraron en acción tendían a ser poco manejables en terreno escabroso, además de poco móviles. Las tanquetas, primero de una larga línea de avances en la tecnología de tanques, contaban con mayor velocidad y maniobrabilidad.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
light_tank;Light Tank;Char léger;Leichter Panzer;;Tanque ligero;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
light_tank_desc;A major step forward in tank technology was the light tank. Generally mounting machine guns or a light gun, these were the first ''true'' tanks to be produced. Used in an infantry-support role, these tanks gave divisions much-needed mobile firepower with a solid defensive capability.;Une avancée majeure dans la technologie du tank a ét?le char léger. Généralement surmont?de mitrailleuses ou d'un canon léger, ce sont les ''premiers'' vrais chars ?être produit. Utilis?dans un rôle de soutien d'infanterie, ces chars apportent beaucoup aux divisions qui ont grand besoin d'une puissance de feu mobile avec une capacit?de défense sans failles. ;Der leichte Panzer stellte einen großen Fortschritt der Panzertechnologie dar. Diese ersten richtigen Panzer waren meist mit Maschinengewehren oder einer leichten Panzerkanone bestückt. Sie wurden zur Infanterieunterstützung eingesetzt und boten Divisionen dringend benötigte mobile Feuerunterstützung bei solider Verteidigungsfähigkeit.;;El tanque ligero fue un gran paso adelante en la tecnología de los tanques. Estos vehículos, armados con ametralladoras o cañones ligeros, fueron los primeros tanques 'de verdad' que se produjeron. Usados en tareas de apoyo de infantería, proporcionaban a las divisiones potencia de fuego móvil, además de gran capacidad defensiva.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
armoured_cars;Armoured Cars;Véhicules blindés;Panzerwagen;;Coches blindados;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
armoured_cars_desc;Armored Cars filled a role not well suited to tanks or to regular infantry mounted on trucks. Providing lighter vehicles to cavalry and police units, armored cars could travel at speed over regular roads, and provide a high degree of fire power per vehicle.;Les véhicules blindés remplissent un rôle qui ne convient pas aux chars ou ?l'infanterie montée sur des camions. Avec la fourniture de véhicules légers pour les unités de cavalerie et les unités de la police, des véhicules blindés pouvaient circuler ?grande vitesse sur les routes ordinaires, et fournir un haut degr?de puissance de feu par véhicule. ;Panzerwagen füllten eine Rolle aus, für die Panzer oder reguläre Infanterie auf Lastwagen nicht geeignet waren. Panzerwagen, mit der die Kavallerie und Polizei ausgerüstet wurden, konnten auf normalen Straßen schnell fahren und verfügten über hohe Feuerkraft.;;Los coches blindados desempeñaron un papel para el que no estaban bien preparados ni los tanques ni la infantería montada en camiones. Los coches blindados proporcionaban vehículos ligeros a las unidades de caballería y policía, que con ellos podían viajar a gran velocidad por carreteras normales y disponer de una más que decente potencia de fuego.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
anti_aircraft_artillery;Anti-Aircraft Artillery;Artillerie antiaérienne;Flugabwehrartillerie;;Artillería antiaérea;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
anti_aircraft_artillery_desc;In response to the increasing role of aircraft in armed conflict, new methods and weapons were designed to counter this new threat. Dedicated anti-aircraft artillery was a major step forward in this area.;En réponse au rôle de plus en plus important de l'aviation lors des conflits armés, de nouvelles méthodes et armes furent conçues pour contrer une telle menace. En la matière, l'artillerie antiaérienne jouait un rôle prépondérant.;Als Reaktion auf die zunehmend bedeutende Rolle von Flugzeugen in bewaffneten Konflikten wurden neue Abwehrmethoden und Waffen gegen diese neue Bedrohung entwickelt. Spezialisierte Flugabwehrartillerie war ein großer Fortschritt auf diesem Gebiet.;;Como respuesta a la creciente importancia de los aviones en el conflicto, se diseñaron nuevos métodos y armas para contrarrestar esta nueva amenaza. La artillería antiaérea fue un importante avance en este campo.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
improved_anti_aircraft_artillery;Improved Anti-Aircraft Artillery;Artillerie antiaérienne améliorée;Verbesserte Flugabwehrartillerie;;Artillería antiaérea mejorada;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
improved_anti_aircraft_artillery_desc;"As aircraft improved over time, so too did the weapons to counter them. Heavier guns, with improved sights,"" and better designed shells made the dreaded """"ack-ack"""" all the more dangerous.";Alors que les avions n'avaient de cesse de s'améliorer, les armes censées les contrer leur emboîtèrent le pas. Des canons plus lourds dotés de systèmes de visée améliorés ainsi que de puissants obus augmentaient la dangerosit?des systèmes antiaériens.;Im Zuge der allmählichen Weiterentwicklung von Flugzeugen wurden auch die Flugabwehrwaffen verbessert. Schwerere Geschütze mit verbesserten Zielvorrichtungen machten die gefürchtete Flak noch gefährlicher.;;Al mismo tiempo que progresaban los aviones lo hacían las armas para contrarrestarlos. Los nuevos cañones, más pesados, con miras mejoradas y munición mejor diseñada, aumentaron la peligrosidad de estas armas.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
light_artillery;Light Artillery;Artillerie légère;Leichte Artillerie;;Artillería ligera;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
